City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
213,Hambantota,6.12,81.12,79.14,81,0,9.75,LK,light rain
214,Krasnystaw,50.98,23.17,44.6,100,90,8.05,PL,overcast clouds
215,Ambilobe,-13.2,49.05,74.35,77,100,4.07,MG,overcast clouds
216,New Norfolk,-42.78,147.06,45.0,81,20,8.05,AU,few clouds
217,Nantucket,41.28,-70.1,64.4,68,1,11.41,US,clear sky
218,Orlik,52.52,99.83,16.25,89,63,3.31,RU,broken clouds
219,Pacific Grove,36.62,-121.92,57.99,62,20,8.05,US,few clouds
220,Conceicao Das Alagoas,-19.91,-48.39,91.4,21,0,11.41,BR,clear sky
221,Pinega,64.7,43.39,37.76,93,100,8.48,RU,overcast clouds
222,Shimoda,34.67,138.95,60.01,92,98,17.38,JP,overcast clouds
223,San Quintin,30.48,-115.95,65.82,52,0,17.4,MX,clear sky
224,Innisfail,-17.53,146.03,78.17,76,22,4.94,AU,few clouds
225,Urumqi,43.8,87.6,33.8,59,0,2.24,CN,clear sky
226,Pangnirtung,66.15,-65.71,10.4,85,90,9.17,CA,light snow
227,Laguna,38.42,-121.42,62.01,41,1,5.82,US,clear sky
228,Northam,51.03,-4.22,55.99,94,100,13.09,GB,overcast clouds
229,Ordu,40.91,37.68,55.4,93,75,8.05,TR,broken clouds
230,Port Hardy,50.7,-127.42,44.6,65,20,17.22,CA,few clouds
231,Katsuura,35.13,140.3,60.8,77,75,8.05,JP,broken clouds
232,Puerto Madero,14.72,-92.42,86.0,74,75,6.93,MX,broken clouds
233,Kaeo,-35.1,173.78,71.01,71,31,10.0,NZ,scattered clouds
234,Cockburn Town,21.46,-71.14,78.8,78,90,11.41,TC,overcast clouds
235,Saskylakh,71.92,114.08,-8.66,89,3,7.34,RU,clear sky
236,Anan,33.92,134.65,64.4,72,75,6.93,JP,broken clouds
237,Gamba,-2.65,10.0,77.11,91,86,6.4,GA,light rain
238,Dingle,11.0,122.67,73.4,91,96,0.96,PH,overcast clouds
239,Saint George,37.1,-113.58,59.0,22,75,20.8,US,broken clouds
240,Palmer,42.16,-72.33,77.0,29,40,4.7,US,scattered clouds
241,Itumbiara,-18.42,-49.22,88.74,36,50,2.84,BR,scattered clouds
242,Sao Gabriel Da Cachoeira,-0.13,-67.09,87.8,74,40,6.93,BR,scattered clouds
243,Frontera,26.93,-101.45,82.99,32,0,5.01,MX,clear sky
244,Kahului,20.89,-156.47,84.2,62,40,19.46,US,scattered clouds
245,Tuatapere,-46.13,167.68,50.0,57,39,10.0,NZ,scattered clouds
246,Sao Filipe,14.9,-24.5,79.7,76,28,16.06,CV,light rain
247,Avera,33.19,-82.53,80.6,54,40,10.29,US,scattered clouds
248,Dharchula,29.85,80.53,50.61,45,0,3.31,IN,clear sky
249,Auki,-8.77,160.7,82.31,74,22,3.67,SB,few clouds
250,Walvis Bay,-22.96,14.51,60.01,87,0,6.93,NA,clear sky
251,Wenling,28.37,121.36,64.0,81,72,8.12,CN,broken clouds
252,Tibu,8.64,-72.74,86.5,65,57,3.31,CO,broken clouds
253,Beringovskiy,63.05,179.32,28.6,89,34,7.65,RU,scattered clouds
254,Chara,56.91,118.26,-5.48,77,80,2.51,RU,broken clouds
255,Byron Bay,-28.65,153.62,64.0,88,90,8.05,AU,light rain
256,Talara,-4.58,-81.27,67.12,78,37,12.19,PE,scattered clouds
257,Keuruu,62.27,24.7,44.6,87,40,10.29,FI,scattered clouds
258,Letlhakane,-21.42,25.58,87.58,26,1,6.15,BW,clear sky
259,Coquimbo,-29.95,-71.34,62.6,67,0,13.87,CL,clear sky
260,Cloquet,46.72,-92.46,64.4,63,40,10.29,US,scattered clouds
261,Fayaoue,-20.65,166.53,76.35,81,0,15.97,NC,clear sky
262,Wittlich,49.98,6.88,44.6,87,1,1.5,DE,clear sky
263,Prince Rupert,54.32,-130.32,41.0,65,1,13.87,CA,clear sky
264,Atar,20.52,-13.05,87.04,18,99,9.69,MR,overcast clouds
265,Kargasok,59.06,80.86,35.53,84,100,11.74,RU,overcast clouds
266,Fuerte Olimpo,-21.04,-57.87,99.52,20,65,2.48,PY,broken clouds
267,Kalmunai,7.42,81.82,78.75,84,35,3.42,LK,moderate rain
268,Guerrero Negro,27.98,-114.06,70.47,62,42,19.93,MX,scattered clouds
269,Yulara,-25.24,130.99,71.6,15,32,6.93,AU,scattered clouds
270,Naifaru,5.44,73.37,81.77,74,100,5.41,MV,overcast clouds
271,Constitucion,-35.33,-72.42,64.63,56,0,16.37,CL,clear sky
272,Killarney,52.05,-9.52,55.4,93,90,6.93,IE,overcast clouds
273,Lavrentiya,65.58,-171.0,28.69,96,53,10.0,RU,broken clouds
274,Makokou,0.57,12.86,70.74,96,100,2.64,GA,moderate rain
275,Luanda,-8.84,13.23,78.8,83,75,8.05,AO,broken clouds
276,Ixtapa,20.7,-105.2,86.0,55,5,8.05,MX,clear sky
277,Longyearbyen,78.22,15.64,28.4,86,20,2.24,SJ,few clouds
278,Vinukonda,16.05,79.75,72.48,93,0,2.8,IN,clear sky
279,Kashi,39.45,75.98,42.8,30,34,11.18,CN,scattered clouds
280,Bereda,43.27,-7.54,61.0,89,12,13.0,ES,few clouds
281,Saint-Philippe,-21.36,55.77,73.4,78,0,11.41,RE,clear sky
282,Hit,33.64,42.83,67.68,47,100,9.08,IQ,overcast clouds
283,Ryde,50.73,-1.16,54.0,96,56,5.99,GB,broken clouds
284,Omboue,-1.57,9.26,77.77,87,75,8.81,GA,broken clouds
285,Trelew,-43.25,-65.31,71.15,30,94,22.12,AR,overcast clouds
286,Cherskiy,68.75,161.3,4.55,94,100,6.4,RU,overcast clouds
287,Sabang,5.89,95.32,80.29,76,100,2.08,ID,overcast clouds
288,Nelson Bay,-32.72,152.15,63.0,55,44,8.05,AU,scattered clouds
289,Gwadar,25.12,62.33,73.74,73,0,6.98,PK,clear sky
290,Turukhansk,65.82,87.98,18.5,97,100,18.95,RU,light snow
291,Berlevag,70.86,29.09,38.84,75,85,25.23,NO,overcast clouds
292,Olafsvik,64.89,-23.71,41.27,68,91,30.15,IS,light rain
293,Ilulissat,69.22,-51.1,10.4,66,20,5.82,GL,few clouds
294,Turan,16.07,108.22,73.4,94,40,7.56,VN,scattered clouds
295,Boa Vista,2.82,-60.67,78.8,83,75,14.99,BR,moderate rain
296,Pravia,43.49,-6.15,59.0,82,40,4.94,ES,scattered clouds
297,Kloulklubed,7.04,134.26,77.0,94,90,4.7,PW,overcast clouds
298,Oia,40.54,-8.54,60.01,92,79,1.99,PT,broken clouds
299,Saint-Augustin,51.23,-58.65,31.86,89,0,13.98,CA,clear sky
300,Poya,-21.35,165.15,77.13,70,45,8.72,NC,scattered clouds
301,Sitka,57.05,-135.33,35.6,80,40,4.7,US,scattered clouds
302,Kamenka,51.32,42.77,39.0,90,9,9.55,RU,clear sky
303,Pangai,-19.8,-174.35,74.37,80,18,11.72,TO,few clouds
304,Lazaro Cardenas,17.96,-102.2,83.26,71,94,9.53,MX,overcast clouds
305,Lashio,22.93,97.75,59.32,91,0,1.52,MM,clear sky
306,Natal,-5.79,-35.21,82.4,74,40,19.46,BR,scattered clouds
307,Sao Joao Da Barra,-21.64,-41.05,77.0,65,75,11.41,BR,broken clouds
308,Belmonte,-15.86,-38.88,78.8,83,40,12.75,BR,scattered clouds
309,Matagami,49.75,-77.63,35.6,80,1,4.7,CA,clear sky
310,Imeni Babushkina,59.76,43.13,38.62,84,92,12.71,RU,overcast clouds
311,Malakal,9.53,31.66,78.62,28,90,3.69,SS,overcast clouds
312,Mjolby,58.33,15.12,50.0,81,80,10.29,SE,broken clouds
313,Lewistown,40.6,-77.57,71.6,33,1,5.82,US,clear sky
314,Azul,-36.78,-59.86,74.7,57,89,3.2,AR,overcast clouds
315,San Patricio,28.02,-97.52,82.4,54,20,12.75,US,few clouds
316,Vestmannaeyjar,63.44,-20.27,44.6,87,75,21.92,IS,broken clouds
317,Awjilah,29.11,21.29,64.11,72,0,12.93,LY,clear sky
318,Aldan,58.6,125.39,-4.86,91,100,5.1,RU,overcast clouds
319,Vila Franca Do Campo,37.72,-25.43,60.8,72,40,8.05,PT,light intensity shower rain
320,Severo-Kurilsk,50.68,156.12,34.48,83,3,1.92,RU,clear sky
321,Port Lincoln,-34.73,135.87,60.22,71,29,16.11,AU,scattered clouds
322,San Andres,12.58,-81.7,86.0,74,40,6.93,CO,scattered clouds
323,Khorramshahr,30.44,48.17,78.8,69,0,11.41,IR,clear sky
324,Ayagoz,47.97,80.44,33.01,85,9,2.68,KZ,clear sky
325,Korla,41.76,86.15,35.35,71,0,3.02,CN,clear sky
