City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
358,Upington,ZA,75.2,few clouds,-28.45,21.26,River Place Manor
359,Khammam,IN,70.93,few clouds,17.25,80.15,Hotel Vishnu Residency
361,Buraydah,SA,68.0,broken clouds,26.33,43.98,Mövenpick Hotel Qassim
362,Eyl,SO,78.69,broken clouds,7.98,49.82,Amiin Hotel
365,Sainte-Maxime,FR,62.01,light rain,43.3,6.63,Hôtel Les Jardins De Sainte Maxime
366,Lagoa,PT,61.09,clear sky,39.05,-27.98,Casa Das Faias
368,Nouadhibou,MR,71.6,broken clouds,20.93,-17.03,El Medina
369,Carutapera,BR,82.53,clear sky,-1.2,-46.02,Lidera
370,Gulu,UG,63.03,moderate rain,2.77,32.3,ACHOLI INN
372,Nioro,GM,84.06,clear sky,13.35,-15.75,
373,Sao Paulo De Olivenca,BR,87.26,overcast clouds,-3.38,-68.87,
375,Pemba,MZ,78.01,few clouds,-12.97,40.52,Guesthouse Samotina
379,Ahipara,NZ,64.89,scattered clouds,-35.17,173.17,Ahipara Holiday Park
381,Mahibadhoo,MV,83.43,light rain,3.78,72.97,Omadhoo Inn
383,Alliance,US,71.6,few clouds,40.92,-81.11,Holiday Inn Express & Suites Alliance
384,Bubaque,GW,84.97,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
385,Trairi,BR,80.51,scattered clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
386,Marawi,PH,73.99,overcast clouds,8.0,124.29,Derogongan Residence
388,Manjacaze,MZ,86.88,clear sky,-24.71,33.88,Hotel Gani
392,Sohag,EG,66.2,clear sky,26.56,31.69,Civil Registry - Sohag 1
393,Olinda,BR,82.4,broken clouds,-8.01,-34.86,Hotel 5 Sóis
394,Half Moon Bay,US,61.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
395,Manavgat,TR,66.0,clear sky,36.79,31.44,Lake & River Side Hotel & Spa
396,Praia,CV,78.8,clear sky,14.92,-23.51,LT Aparthotel
397,Cap Malheureux,MU,71.01,few clouds,-19.98,57.61,Pereybere Hotel & Spa
398,Manokwari,ID,79.99,heavy intensity rain,-0.87,134.08,Swiss Belhotel Manokwari
400,Finschhafen,PG,80.1,scattered clouds,-6.6,147.87,Cossam Guest House
401,Faya,SA,62.6,clear sky,18.39,42.45,مقبرة ال مجمل
402,Pisco,PE,66.99,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
404,Shelburne,CA,69.8,few clouds,44.08,-80.2,The Retreat at the Farm
406,Moulins,FR,61.0,overcast clouds,46.5,3.33,ibis Moulins Sud
408,Quang Ngai,VN,72.46,light rain,15.12,108.8,Central Hotel
409,Hervey Bay,AU,72.0,clear sky,-25.3,152.85,Shelly Bay Resort
411,Le Port,RE,71.6,few clouds,-20.94,55.29,Villa Maido
412,Mandvi,IN,80.26,clear sky,22.83,69.37,Jitendra Guest House
414,Benguela,AO,76.96,broken clouds,-12.58,13.41,Hotel Praia Morena
415,Namibe,AO,70.39,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
418,Carnarvon,AU,69.8,broken clouds,-24.87,113.63,Hospitality Carnarvon
421,Jovellar,PH,75.85,overcast clouds,13.07,123.6,Tay Jose AgriTourism Park
422,Barranco De Loba,CO,85.17,light rain,8.95,-74.11,Hotel El Lirio Del Valle
423,Agadir,MA,64.4,clear sky,30.42,-9.6,Iberostar Founty Beach
424,Mandurah,AU,64.0,clear sky,-32.55,115.7,Atrium Hotel Mandurah
425,Vao,NC,73.31,broken clouds,-22.67,167.48,Hotel Kou-Bugny
427,Orem,US,64.99,overcast clouds,40.3,-111.69,La Quinta Inn & Suites by Wyndham North Orem
431,Kaseda,JP,64.0,light rain,31.42,130.32,Sun Stay Kaseda
433,Caluquembe,AO,64.65,overcast clouds,-13.78,14.68,
434,Chigorodo,CO,84.31,broken clouds,7.67,-76.68,Hotel Las Guaduas Del Darien
435,Maceio,BR,80.6,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
436,Praya,CV,78.8,clear sky,14.92,-23.51,LT Aparthotel
437,Beira,MZ,80.6,clear sky,-19.84,34.84,Beira Terrace Hotel
438,Cordele,US,78.8,scattered clouds,31.96,-83.78,Ramada by Wyndham Cordele
